"An 0"	"An 30"	"An 60"	"An 120"	"O2 0"	"O2 1"	"O2 5"	"O2 10"	"O2 15"	"O2 30"	"O2 45"	"O2 60"	"O2 120"
"IMP"	0	0.0990667013124666	0.0996294361008535	0.125707048095666	0	0.194077302020352	0.113430256980158	0.1086464639056	0.16720210270502	0.135887392301468	0.107102135429612	0.0869911034248829	0.409447091367838
"IPP/DMAPP"	0	0.165322824235811	0.378104091014428	0.239900568061017	0	0.24219274068135	0.283491487023608	0.420152254731874	0.362929956827442	0.214888220805348	0.199862247187896	0.289525855898467	0.255103155491286
"Isoleucine"	0	0.168137914943742	0.115165989848869	0.0737628910844747	0	0.160028884900205	0.18055417134803	0.109575112177037	0.076895402760608	0.0726342682908211	0.149519233025832	0.16256797197178	0.127799443914832
"KDPG"	0	0.100537811437309	0.118364606093186	0.177429995999326	0	0.279351379753217	0.154947109144216	0.248822689305647	0.238418633656378	0.171926416325358	0.159283096490096	0.180167437593602	0.173492571551713
"Leucine"	0	0.117125997501875	0.106811632297396	0.0949480268402817	0	0.24294598480306	0.238052760965873	0.147297722685532	0.26747239480059	0.0902444060241478	0.0821079357480996	0.111775168211642	0.0628525498230526
"Malate"	0	0.11715535544442	0.145492238267446	0.164371490686835	0	0.283065247228868	0.179229700793768	0.15722111147259	0.170783244377253	0.122921995961374	0.142558057952188	0.118741587794276	0.104398480605535
"MEP"	0	0.114969260723975	0.201441547020491	0.243260410690456	0	0.409188169068994	0.2111541718899	0.260796030174048	0.276946235586416	0.117323490140267	0.166010862059305	0.111302282850619	0.285152937977039
"Methionine"	0	0.12232292551751	0.113596730503694	0.10833652509475	0	0.273004672709865	0.134126158262136	0.111282782802636	0.101006788926985	0.0881039475504046	0.0872916928457598	0.100099241916707	0.123878226507408
"NAD+"	0	0.214438305861377	0.120167962627822	0.19584760335201	0	0.302392011909873	0.0705378475878218	0.155462453678366	0.125696181576184	0.143810985515537	0.137624961469088	0.130276041457633	0.21964735049209
"NADP+"	0	0.381610877003134	0.23890776959116	0.283473374743741	0	0.354610432680987	0.200228128196471	0.309151438427499	0.291267597396793	0.238803391469384	0.238588373189033	0.246657862218306	0.262519384149019
