2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
Acetyl Coenzyme A	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	510074.12	204647	514593.41	544318.12	384889.47	504910.72	462475.12	431994.59	464347.75	410705.91	336216.78	261313.05	466824.88	373103.09	530548.31	750904.5	600138	1003008	653994.19	319295	415677.88	408678.5	437694.38	352054	566927.25	634419.81	480741.16	702832	1290057.88	1304469	1736034.5	1293187	1236118.62	2097960	1133046.12
C13-label-1	168696.64	35407.49	163735.2	153321.91	95736.5	141491.41	121875.7	122498.81	134138.48	125143.46	102213.28	72287.26	131155.83	107143.96	168203.64	226609.62	149043.19	298752	185353.25	96274.74	112573.81	137574.23	120849.62	99196.65	188457	180938.86	136169.8	215602.95	359435.25	345223.84	495277.59	369663.41	324928.34	634033.56	334546.03
C13-label-2	89445.85	35056.16	70451.25	80223.62	76508.46	87323.23	65494.58	105153.59	62464.5	104124.55	66434.57	55854.66	83624.94	68122.34	120354.05	123571.44	105977	151880.33	100102.23	74948.76	74765.96	87451.07	81494.16	61737.03	91732.73	114045.47	86816.35	120202.7	175729.56	167965.45	231580.52	177121.56	170126.81	222404.92	157638.67
C13-label-3	5972.62	0	14123.12	0	6056.11	7375.09	8082.6	5715.48	7726.37	0	7410.76	4425.38	7569.21	18841.85	6912.15	18144.8	8292.87	20973.23	7007.48	9962.4	9475.6	10556.85	6809.48	7094.67	14909.5	6611.32	25674.73	17679.77	34626.43	20632.86	23800.21	15447.41	21142.25	53190.63	50202.14
C13-label-4	0	0	0	0	0	0	0	6413.4	0	5642.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7398.35	0	0	7495.29	5021.17
C13-label-8	0	4936.1	0	5248.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4776.07	0	0	0	0	0	0	0	0	0	0
C13-label-9	7532.69	0	23430.88	0	5624.48	6500.97	0	5200.27	6168.93	7818.27	0	0	6284.62	7482.81	14663.44	6218.46	7263.55	6202.26	0	12653.52	5725.42	6627.25	0	0	8142.71	6938.32	6931.6	5391.37	7496.39	4509.73	4983	8771.11	12830.6	6592.05	5290.36
C13-label-10	37370.07	31136.27	28195.17	24361.07	38057.28	33485.47	30423.59	57061.08	31995.32	37884.45	68392.41	37801.55	57466.05	27172.17	49902.21	47832.22	36886.5	52833.53	20935.62	38217.31	40981.34	51776.13	68128.42	40618.52	40177.59	65128.25	50254.25	39043.31	58483.56	34845.88	32629.56	54076.96	30051.73	64010.66	55807.91
C13-label-11	209684.05	139138.86	204472.73	194786.81	169562.17	189042.52	179079.98	241714.86	252984.86	212574.73	208113.25	145517.39	234807.17	233112.92	217616.75	239828.8	250343.86	234723.88	184874.27	230496.94	225012.98	189568.48	278273.81	216138	236245.88	272144.78	226581.86	237912.12	229024.23	180998.8	193446.69	270351.41	244979.14	221379.95	233057.2
