C13-label-12	671276	615202.38	616017.06	680268.56	669687.06	587195.88	638753.88	599003.25	600279.06	648351.81	703201.69	620257.56	653470.88	706009.31	599423.25	668151.19	583362.75	684470.94	612494.06	649235.56	655284.44	677361.19	626647.94	746585.94	647634.88	695640.94	607310.38	658384.25	712744	583372.44	691361.44	556785.06	636680.62	626766.94	670220.19	711141.5	679428.19
C13-label-13	143489.98	112113.12	151961.11	171830.92	140061.72	140174.39	126631.53	115841.76	139405.25	151656.12	150009.27	138013.61	135120.03	170334.75	143160.62	143635.83	130972.13	152582.42	125119.21	146526.48	139697.28	122341.02	147679	154795.14	129360.15	139332.44	145160.28	115199.5	149418.83	129661.38	156121.36	135525.52	136658.27	150233.86	161018.11	152370.23	134441.75
C13-label-14	68730.8	63399.11	103092.91	88790.82	100591.25	85364	64896.14	59826.79	84772.82	98452.59	85821.72	74934.9	86616.66	99246.01	32392.01	76919.13	81584.71	73787.13	92370.29	89255.15	29853.61	86132.76	75646.69	83376.29	97831.97	98848.16	81524.97	91592.71	59692.45	78862.41	80581.24	78284.91	73795.62	62510.18	33710.95	69996.88	88372.45
C13-label-15	7234.2	11664.68	14597.55	5149.55	4411.94	11580.42	19983.65	7007.39	0	6033.97	5515.67	10498.01	6066.08	18484.82	5644.72	5574.91	9758.83	5942.8	4786.72	11943.57	5725.63	0	5433.13	5666.55	4919.61	16365.48	12045.23	21407.18	11727.74	9383.41	11259.93	5707.87	8181.67	5567.45	11452.19	14580.97	22363.09
C13-label-16	8013.82	4696.31	5738.27	6513.82	10044.07	6701.87	4927.2	5196.81	5654.97	5561.18	5878.23	5261.71	7246.58	5207.59	5055.62	0	4714.21	10201.53	5984.1	5705.17	11743.33	10090.03	5604.54	7875.78	5356.43	5858.8	5850.27	6052.16	7910.33	0	9878.08	5473.2	0	6723.29	6232.56	6273.8	6241.82
C13-label-17	16218.23	18377.47	17885.4	8055.92	19828.73	5369.72	13188.03	12539.5	7272.24	19998.87	7299.23	6739.68	10929.86	7642.9	21480.85	10273.83	12997.5	7002.65	11320.58	16472.4	12082.07	5988.31	0	9786.33	14934.53	15458.15	12315.17	18772.04	12926.88	0	12396.02	7207.06	10218.81	7200.22	7150.57	12517.41	7193.13
C13-label-18	47137.77	50220.55	47400.96	39014.98	51061.52	25205.9	52616.04	29171.56	31652.62	41095.49	38708.88	26629.36	41202.56	48065.38	32633.85	24968.25	29250.06	30200.44	28617.31	41681.57	32641.46	19750.26	31178.62	42367.75	38249.01	0	39367.72	48489.59	50100.3	49244.72	39769.02	29483.38	39898.04	29670.52	52335.46	40244.08	32890.25
C13-label-19	50830.66	32483.58	39358.75	38939.39	39435.89	39444.83	0	38614.79	24398.32	48890.25	51243.83	38601.88	29808.23	57843.96	36961.74	50320.78	30397.09	49236.01	38301.22	39423.38	25916.8	48081.82	28051.5	51862.81	43058.82	40970.2	33803.33	46426.98	26230.06	51158.61	26447.66	40471.26	31780.45	31233.18	40768.09	16231.95	42945.84
C13-label-20	117682.27	111037.75	118021.21	114854.98	125173.34	110514.88	123638.12	114329.07	97719.15	121795.1	112304.44	104694.26	103957.48	139712.83	132996.86	128717.12	117849.73	108936.34	131530.16	128839.6	123168.56	131564.81	106559.82	122060.75	114454.81	136309.05	141694.67	127745.49	136017.77	110324.02	110952.56	107312	125778.28	126253.49	124020.19	138614.42	123755.72
C13-label-21	377997.62	364316.5	392454.28	388659.97	392017.91	372179.62	396021.09	362569.41	397251.97	397956	409751	351530.91	395126.72	459109.47	353710.28	371316.91	367581.84	391267.59	323326.59	426316.66	405948.47	389985.28	371724.25	393885.72	432770.78	360609.59	347347.59	450416.66	407263.5	356490.75	402438.22	363151.34	398286.66	407269	428952.75	411637.59	434595.41
C13-label-22	1265567.88	1206139.12	1257662.62	1439510.88	1307463.62	1215645.62	1267534.5	1296711.12	1336188.38	1271882.12	1273692.88	1144891.62	1289581.12	1494786	1266314.12	1317173.12	1245956	1386216.12	1256654.62	1353159	1316079.5	1324269.38	1254106.88	1382525.62	1332137	1365304.62	1203095.88	1355164	1326446.38	1286442	1335929.38	1296695.5	1375355.62	1321684.88	1329291.88	1526972.5	1398308.38
C13-label-23	3323398.25	3133526.25	3134484	3224243.25	3247516	3008198.75	3191382	3068409	3173980.75	3209391	3475927.25	2695949	3146034.25	3751846.75	3327371	3228519.75	3016052.75	3412624	2948581	3233855	3343418.25	3435903.25	3102808.25	3400866	3435278	3518316.25	3113751.25	3260461.75	3396556.75	3161190.75	3329351	3225305	3331232.25	3240310	3401123	3735331.75	3562298.75
																																					
Acetyl-Ornithine	O2_0_A	O2_5_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	O2_0_D	O2_5_D	O2_15_D	O2_30_D	O2_45_D	O2_60_D	O2_120_D	An_0_A	An_60_A	An_120_A	An_0_B	An_60_B	An_120_B	An_0_C	An_60_C	An_120_C
C12 PARENT	37310148	36886708	37893168	31430570	26737758	23813946	19370600	39204764	41704992	30234998	17314218	13515033	11780853	11032816	15103661	43870804	42931364	25714034	17328424	16798610	10888454	26385850	43324116	39930336	26749826	20995442	17537394	11659935	39343312	63523508	97949952	28110386	51080524	80508552	37519264	73759680	76936632
C13-label-1	1914310.12	2656184.75	1757729	1329365.38	1199139.62	0	803379	3013740.75	1841922.38	2186515.25	0	412703.59	0	977524.56	0	1008755.31	940496	0	575755.69	0	0	0	0	1035445.81	0	1663065.88	500402.25	575691.81	857833.94	0	2099422.75	794395.75	2297074	4022540	2312223	0	0
C13-label-2	18442.79	15297.16	21929.99	12417.95	14028.61	0	0	24642.05	43408.76	39474.39	19479.69	16283.51	13640.64	0	35680.91	34090.4	27429.57	14713.54	22259.24	0	0	32524.91	56347.66	17152.39	0	0	16046.87	0	0	66608.57	92293.62	15075.64	42077.48	65108.23	18584.9	70723.39	0
C13-label-5	7994.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12824.48	0	0	0	0	0	0	0	0	0	0	0	0	11033.45	0	0	0	0	0
C13-label-6	219264.98	226177.75	154707.89	227606.33	129180.26	134656.77	77679.62	134963.17	137801.38	77506.44	56748.89	158572.42	101634.03	71472.45	77615.84	206846.83	75203.98	202762.8	195162.95	121525.48	132823.92	57216.65	162942.55	70324.77	129131.01	173202.39	122777.44	157402.61	178225.39	267523.78	75710.34	85678.18	83615.19	121355.73	156861.44	128356.49	74979.24
C13-label-7	2249553.25	2295492	2440106.75	2423856.25	2335136	2193263	2544016.25	2117990.25	2194127	2498132.75	2154173.25	2155508.5	1358530.5	2406402.25	2633731.5	2188606.75	2344821.75	2342832.75	2492994.75	2035339.62	1992162.12	1364419	2402269.25	1324245.12	2336874.75	2249868	2055033.62	2130864.75	2401033	2457382.75	2268726.75	2473261.5	2171981.5	2240187.5	2491243.25	2353129.5	2298177.25
																																					
