2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C13-label-14	79388	24913.85	37222.9	21510.2	36042.19	39347.39	80735.29	48765.26	7169.85	34885.86	45823.86	49544.18	53969.41	35699.86	80159.69	36435.16	28709.88	66165.98	60166.43	49114.27	68708.18	42102.55	63335.79	53222.3	58061.98	63196.11	60051.96	63449.78	49177.42	58748.6	83838.97	40555.35
C13-label-15	11428	0	0	0	0	7010.13	0	6487.49	0	0	0	8461.13	0	6342.47	0	8007.29	0	0	0	0	0	0	0	0	0	7894	0	0	0	7455.46	7439.5	0
C13-label-16	8876.65	0	0	7850.56	0	0	0	0	0	0	0	0	5991.55	0	0	0	0	0	0	0	0	0	0	0	0	8168.45	0	0	6735.7	0	0	0
C13-label-17	0	0	0	0	0	0	0	0	0	0	0	7396.49	0	0	0	0	0	0	0	0	0	0	0	9265.28	0	0	0	0	10418.04	0	0	0
C13-label-18	7747.56	9199.08	0	8235.93	9644.34	8478.36	9748.46	0	0	35943.48	8927.48	6661.56	19203.71	9636	8555.22	26120.16	6687.97	24638.74	10167.83	12403.89	0	31820.93	17651.85	9534.99	10692.5	18959.88	7114.67	7764.7	16087.07	19890.28	23257.69	10091.29
C13-label-19	11445.07	6503.76	17381.88	24533.27	8118.03	29519.07	9980.36	9581.51	0	7894.65	19124.77	16748.59	19819.9	18568.06	8192.54	24387.95	0	8855.19	17580.61	22703.98	11670.62	20745.62	7881.58	7907.3	10692.28	20602.24	19065.78	17023.86	0	21028.72	9972.12	11725.84
C13-label-20	60281.65	56195.42	92260.9	79480.45	82077.59	84760.01	70379.94	82234.66	13452.44	70122.05	90518.38	55459.25	121264.87	75772.8	85045.4	90403.73	74092.7	80116.48	74332.3	103988.18	72097.47	78829.05	92101.21	85152.76	78505.35	74808.66	90951.41	57505.2	97192.38	78446.66	81625.23	79769.12
C13-label-21	236973.33	251485.77	278788.34	285645.28	291813.47	282472.28	230333.38	310787.78	100759.02	239099.8	298837.09	264584.69	299571.78	278402.91	279882.28	293303.59	186040.83	273641.31	229936.05	260618.56	252789.95	245843.64	307968.72	290132.66	228787.58	292921.34	259023.58	229501.14	224494.58	251165.55	244761.5	291114.94
C13-label-22	865067.19	766325.19	887702	950957.06	971521.69	968800.81	886836.19	886765.69	311782.25	846791.06	858266.56	911555.19	1005768.69	916345.31	797890.25	908651.25	713599.94	1010138.5	955440.81	930729.56	953831.19	863388.81	962136.06	1015340.19	896847.75	936222.19	878437	763985.56	933694.31	831781.81	953815.06	827764.69
C13-label-23	2225513.75	1870842	2380175	2246016.75	2459293	2252663.25	2272308.25	2207227.75	725744.69	2085822.62	2170401.75	2292632.25	2438846.75	2362419.75	2034975	2248329.75	1762845.88	2508949.75	2028117.5	2308680.5	2243383.25	2178312	2394269.25	2392646.25	2202666	2392035.75	2299978.25	1829406.12	2261011.5	2211869.25	2302414	2074979.12
																																
Acetyl-Ornithine	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	29764670	26994840	18135828	19050442	11331761	13373452	15076336	9701777	43961120	41046796	34594984	22898536	16359141	17403502	14971409	12092288	29753862	44695684	29796358	30463654	17346566	17126442	17465884	9966995	32720552	49160992	73228288	150050544	34847812	56459892	59889084	123960472
C13-label-1	2406849.25	2054894.62	1277881	1422017.38	999285	1103089.88	980745.69	674492.62	3353433.75	3095921.25	2516074.75	1670046.62	1321149.25	1299116.75	1180190	964583.56	2323645.25	3280822.75	2235168.75	2342215	1275941.88	1406648	1485487.62	854994.81	2604120	3417205.75	5142524	11406757	2902599.75	4133433.25	4538128	9515047
C13-label-2	33524.55	0	0	0	0	0	0	0	0	0	20057.15	0	11404.34	0	0	0	0	31988.16	21337.22	0	0	0	0	0	0	19917.08	25291.19	141756.7	18126.34	26812.49	0	30724.04
C13-label-6	230451.88	206692.36	275615.28	194698.95	196881.02	312797.62	163401.38	248448.81	182283.83	179014.06	290113.16	228830.58	242274.89	238884.05	153580.48	257549.8	140684.23	173375.55	297530.84	152378.69	281020.25	291850.56	310143.31	207994.5	215850.77	314842.5	295631.69	211035.2	205888.05	349059.84	277353.38	200956.05
C13-label-7	2426438.25	2101250	2427094	2348323.75	2415777.75	2829433	2601953.5	2750590.75	1989801.88	2309944	2953605	2158576.25	2510336.5	2294214.75	2199571	2409006.75	1918824.5	2308932.25	2890723.25	2517828.25	2438234	2721389.75	2862483	2596908.25	2576497.75	2721278.25	2769045.25	2484579.25	2445095.25	2822181.75	2032721	2928965
																																
Aconitate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	1749725.62	1811128.62	1218573.12	2122955.5	1758784	2456945.25	2790341.25	3924698	3197832.25	2449922	1840661.12	2352979.75	2026726	2663761.75	2705160	6774684	5354527.5	4134235.25	1591353.38	2192275.75	2503509	2430791.25	3612005.75	6862669.5	3536480.75	2847168	4282875	10052115	2407681	4416490.5	5723719.5	6281656
C13-label-1	123949.74	136121.91	82675.69	134891.2	110142.93	171385.39	147776.45	280301.47	183806.3	149677.77	113538.43	160715.5	134835.83	165289.94	154721.48	443035.75	330702.72	281238.34	89306.49	173444.92	170698.75	164697.64	226509.38	459788.09	244596.39	154880.8	238805.08	617931.06	169761.45	279039.97	417839.41	426806.88
C13-label-2	0	0	0	6287.3	0	4590.11	4436.06	7062.48	0	0	0	0	0	0	0	0	0	5473.32	0	0	0	6134.14	0	5107.52	0	0	0	0	0	0	0	0
C13-label-3	0	0	0	0	0	0	0	0	4664.18	0	5108	0	0	0	0	0	0	0	0	5275.68	0	0	0	0	0	0	0	0	0	5401.69	0	5717.29
C13-label-4	60530.39	56884.52	58940.42	42412.89	65430.83	54498.11	59726.53	56131.35	49310.87	76607.22	38084.81	50143.44	60581.44	50700.62	69021.52	69614.73	53851.45	63287.66	54906.07	66662.5	58395.13	66164.29	67038.35	66841.95	71832.52	76966.5	62837.61	43274.18	71123.23	66853.65	66448.48	52244.51
C13-label-5	626168.5	587125.44	566711.69	655624.75	606337.56	775305.56	645746.19	579971.56	712492.69	705900.81	610763	657191.38	661654.69	710359.69	613105.56	686328.06	611766.94	743483.31	613148.19	673051.75	677825.69	711243	687127.31	699453.06	736084.5	752977.31	698322.19	718926.25	774228.69	751349.69	789068.75	720942.56
C13-label-6	2334100.75	2323552.75	2264449.75	2455797	2496477.25	2622236.25	2417787.75	2293983.25	2618526.75	2678679	2566656.25	2517011.75	2480735.25	2528697	2545713.75	2606085.25	2378510.75	2731236.25	2525998	2695571.5	2632263.75	2730216.25	2737573.75	2660961.25	2861521	3072259.25	2789507.5	2605179.75	2863756	2887974.75	2925928	2760169.25
																																
ADP	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	364237	551268.75	198348.5	784650.94	470329.97	579407.44	425824.91	53225.32	2816881.75	349737.09	164414.38	827152.25	141343.12	157704.48	230901.2	1020373.94	1111500.5	445851.72	138571.45	385651.66	367156.59	128930.98	1003338.06	1169599	1622014.5	3334072.75	2688495	7883872	846923.69	2674684.5	3296556	981916.56
