2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C13-label-9	98420.37	101627.65	108969.19	151829.61	136983.08	213274.2	216711.64	0	135686.48	120410.91	150233.23	155665.83	195264.48	191097.88	164165	179862.52	234364.67	123521.23	196885.48	197371.31	206917.94	276612.59	361726.16	228036.83	427744.88	294085.84	201385.92	360381.75	287011.34
C13-label-10	709600.06	678267.44	703546.94	716771.56	778719.56	1265576.38	1333186.38	677530.5	728819.94	704596.5	769602.56	910318.81	1185233	1440287.12	852906	1100311.38	1346146.62	841541.31	1177714.5	1276127.12	1202663.38	1732537.88	2079292	1281433	2415435.25	1931006.88	1354282.38	1742197.12	1790996.62
																													
Alanine	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	36628.5	80477.03	46153.39	74282.32	90613.32	74830.1	69186.45	31635.39	35316.2	118676.59	38742.07	81973.88	107447.02	195583.27	135013.42	81641.3	75341.73	44489.8	105706.66	130812.22	136189.48	75628.47	127370.46	113495.98	178119.5	184216.8	95863.85	89354.87	183018.56
C13-label-1	0	0	0	0	0	0	28530.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10979.62
C13-label-2	0	0	0	0	0	0	0	0	0	0	0	0	0	13127.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-3	568847.44	662130.62	444257.72	515328.03	555405.31	556520.75	545329.94	557280.5	572880.44	455600.88	639753.06	636937.06	643373.81	735861.69	634220.5	658907.06	590711.88	565590	718592.5	531415.12	576485.31	699155.5	661011.44	699744.19	579665.06	822998.69	685525.31	628260.81	326417.03
																													
alpha-ketoglutarate	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1660904.38	2403599.75	2259803.75	2242203.25	2436877.25	3059136.25	3970114	1504786	2031255.5	2054230.62	2010501	2309272.75	2615378.75	3829859.25	1402561	1836893	1851265.5	1893417.12	2051914.88	2626555.75	3116265.25	1749026.5	1919527	1704081.38	2113601.5	1677290.12	1843084.38	1719507.12	2177258.75
C13-label-1	62449.11	110683.23	118550.77	101690.5	130265.88	131524.23	199383.48	76805.34	90751.5	90550.91	96351.27	134416.27	127314.76	184217.3	64100.7	86857.57	101198.82	85651.27	114907.43	128963.35	189402.83	78252.08	94944.27	78130.51	116212.1	83673.6	78756.87	84246.16	115139.16
C13-label-3	12083.05	7449.3	6881.5	12318.46	14729.9	0	8494.22	12555.75	8806.34	6937.88	6214.1	6054.34	6766.05	0	14214.47	7423.79	8489.14	21039.36	6583.24	7403.12	6263.38	9903.09	14316.66	0	8293.4	6989.22	5141.1	8163.1	0
C13-label-4	299394.41	348780.66	294597.66	330279.75	290566.75	301974.03	338828.16	288132.62	329340.03	360346.34	299523.25	349289.12	304036.47	320191.34	333065.34	360181.97	329127.09	335250.78	317838.59	336061.41	350916.84	363667.72	336871.12	313848.59	327623.5	348088.38	349978.09	326301.72	336402.75
C13-label-5	4201011.5	4970771.5	4714314.5	4852735.5	4911320.5	4715530.5	4731415.5	4698846.5	4848527	4827860	4776833.5	4872759.5	4932930.5	4561165.5	4987207.5	4794605.5	5111711.5	5280697.5	5050006.5	5078060	4913375.5	4669113.5	5131324.5	4566021.5	4915808.5	4971569.5	4988948	5027129.5	4797729.5
																													
